code,name,brand,category,description,price_usd,price_ars
1377/00038-530,EJE HORQUILLON HONDA STORM 12x265 ELE,,Repuestos / General,"EJE HORQUILLON HONDA STORM 12x265 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 3302.691975 Código interno: 1377/00038-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,3302.691975
1377/00039-530,EJE HORQUILLON HONDA TWISTER 15x310 ELE,,Repuestos / General,"EJE HORQUILLON HONDA TWISTER 15x310 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 4989.179448 Código interno: 1377/00039-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4989.179448
1377/00043-530,EJE HORQUILLON MOTOMEL SKUA 12x200 ELE,,Repuestos / General,"EJE HORQUILLON MOTOMEL SKUA 12x200 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 3045.033486 Código interno: 1377/00043-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,3045.033486
1377/00044-530,EJE HORQUILLON MOTOMEL SKUA 14X255 ELE,,Repuestos / General,"EJE HORQUILLON MOTOMEL SKUA 14X255 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 4280.802372 Código interno: 1377/00044-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4280.802372
1377/00045-530,EJE HORQUILLON YAMAHA CRYPTON 12x250 ELE,,Repuestos / General,"EJE HORQUILLON YAMAHA CRYPTON 12x250 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 3490.077294 Código interno: 1377/00045-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,3490.077294
1377/00046-530,EJE HORQUILLON YAMAHA YBR 12x250 ELE,,Repuestos / General,"EJE HORQUILLON YAMAHA YBR 12x250 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 3504.612177 Código interno: 1377/00046-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,3504.612177
1377/00050-530,EJE HORQUILLON ZANELLA DUE 12x162 ELE,,Repuestos / General,"EJE HORQUILLON ZANELLA DUE 12x162 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 4333.31613 Código interno: 1377/00050-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4333.31613
1377/00054-530,EJE HORQUILLON ZANELLA NEW FIRE 12x162 ELE,,Repuestos / General,"EJE HORQUILLON ZANELLA NEW FIRE 12x162 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 4333.31613 Código interno: 1377/00054-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4333.31613
1377/00052-530,EJE HORQUILLON ZANELLA RX 150 12x325 ELE,,Repuestos / General,"EJE HORQUILLON ZANELLA RX 150 12x325 ELE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 3418.520193 Código interno: 1377/00052-530. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,3418.520193
1387/00235-038,EJE PALANCA DE ARR.C110/DAX110/MAX110/DAY110 COMPL,NSU,Repuestos / General,"EJE PALANCA DE ARR.C110/DAX110/MAX110/DAY110 COMPL Marca/fabricante: NSU. Categoría: Repuestos / General. precio USD 7.0904599425 | precio ARS 0.0 Código interno: 1387/00235-038. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",7.0904599425,0.0
