code,description,price_importado,price_nacional,categoria_nueva,marca_final,modelo_final
1095/00145-591,BOBINA DE ENCENDIDO GILERA SMASH APOLO,0,30353.510781,ELECTRICIDAD,GILERA,SMASH
1095/00146-591,BOBINA DE ENCENDIDO GILERA SMASH REF.TUNNING APOLO,0,36857.83662,ELECTRICIDAD,GILERA,SMASH
1095/00169-591,BOBINA DE ENCENDIDO GUERRERO G50/G70/G100 APOLO,0,30279.35641500001,ELECTRICIDAD,,UNIVERSAL
1095/00179-591,BOBINA DE ENCENDIDO HONDA BIZ 105CC. APOLO,0,30491.185428,ELECTRICIDAD,HONDA,BIZ
1095/10062-623,BOBINA DE ENCENDIDO HONDA C100 BIZ/DREAM DZE,0,11683.615284,ELECTRICIDAD,HONDA,BIZ
1095/01173-623,BOBINA DE ENCENDIDO HONDA CG125 TODAY/TITAN A CDI DZE,0,13904.737506,ELECTRICIDAD,HONDA,CG125 / TITAN
1095/00230-591,BOBINA DE ENCENDIDO HONDA NS50 APOLO,0,26879.781555,ELECTRICIDAD,HONDA,UNIVERSAL
1095/00235-591,BOBINA DE ENCENDIDO HONDA TITAN ELECTRON. APOLO,0,42895.762272,ELECTRICIDAD,HONDA,TITAN
1095/00290-591,BOBINA DE ENCENDIDO JUKI DRIBBLING ELECTRONICO C/S APOLO,0,30353.510781,ELECTRICIDAD,,UNIVERSAL
1095/00300-591,BOBINA DE ENCENDIDO JUKI DRIBBLING S/SENSOR ELECTR APOLO,0,30353.510781,ELECTRICIDAD,,UNIVERSAL
1095/01076-623,BOBINA DE ENCENDIDO JUKI DRIBBLING/DADALT MAGNETRO DZE,0,13904.737506,ELECTRICIDAD,,UNIVERSAL
1095/00340-591,BOBINA DE ENCENDIDO KAWASAKI NEO MAXPD APOLO,0,30353.510781,ELECTRICIDAD,KAWASAKI,UNIVERSAL
1095/01135-623,BOBINA DE ENCENDIDO KINETIC DX CARGO DZE,0,7376.565834000001,ELECTRICIDAD,,UNIVERSAL
1095/01154-623,BOBINA DE ENCENDIDO KINETIC PRIDE FX EXPRESS DZE,0,7231.128795,ELECTRICIDAD,,UNIVERSAL
1095/01079-623,BOBINA DE ENCENDIDO MAGISTER JC70/AX100 A CDI DZE,0,13904.737506,ELECTRICIDAD,,AX100
1095/00075-519,BOBINA DE ENCENDIDO MONOMARCHA DANSI .,0,16.749909,ELECTRICIDAD,,UNIVERSAL
